Voucher,Group,Region,Sex,Supralabials,Infralabials,Tubercles_gular,Ventrolateral_fold,Paravertebral_tubercles,Longitudinal_tubercles,Ventral_scales,1_phalange,2_phalange,lamellae,femoral_scales,Femoral_pores,precloacal_pores,SVL_MAX,Head_length,Head_width,Head_depth,radius,Humerus,Tibia,Femur,Axilla_groin,Eye_snout,F4_length,T4_length
FMNH 267970,north,Sarawak: Bintulu,M,12,10,0,1,43,20,68,17,10,27,0,0,8,110.7,29.7,19.8,11.9,17.8,17.8,22.2,22,46.1,12.6,10.4,13.4
FMNH 268847,north,Sarawak: Bintulu,F,12,9,0,1,42,16,67,13,10,23,0,0,9,112.9,30.8,22,12.5,19,18.7,21.5,20.2,48.5,13.9,10.1,10.8
FMNH 168845,north,Sarawak: Bintulu,F,11,8,0,1,41,15,66,13,10,23,0,0,9,110.7,32.3,21.7,12.3,18.1,17.7,21,21.9,47.3,12.6,10.5,12
FMNH 149146,north,Sarawak: Bintulu,M,13,9,0,1,42,16,76,13,8,21,1,2,8,113.6,29.8,19.4,11.9,19,13.1,22.1,22.8,51.8,12.7,10.4,12.6
FMNH 149134,north,Sarawak: Bintulu,F,11,9,0,1,40,18,80,13,8,21,0,0,6,114.5,31.5,20.7,13.2,18.4,16.9,22.4,21.7,52.8,13.7,10.2,12.4
FMNH 221440,central,7th district,F,10,10,0,1,47,17,51,15,9,24,0,0,8,107.6,30.6,20,11.9,17.5,17.2,21.2,22.2,49.6,13.3,9.1,12.5
FMNH 221435,central,7th district,M,10,9,0,1,54,20,60,14,8,22,1,0,9,93,24.9,16.7,9.6,15.2,16.1,19.7,20.4,41.8,10.4,9.2,11.6
FMNH 221433,central,7th district,M,12,9,0,1,52,17,61,15,9,24,1,7,8,105.9,26.7,19.6,11.2,17.7,17,20.9,23.2,44.5,11.7,10.5,13
FMNH 221446,central,7th district,F,10,9,0,1,46,18,63,16,8,24,1,0,8,109.5,30.4,20.5,12.6,16.2,17.7,20.5,23.5,49.6,12.8,10.5,13.5
FMNH 221438,central,7th district,M,12,10,0,1,45,18,52,14,8,22,1,3,10,100.3,30,18.4,10.8,16.7,16.8,20.4,21.4,45.3,11.8,9.6,11.2
FMNH 221449,central,7th district,F,11,10,0,1,44,17,47,15,9,24,1,0,8,107.9,28.6,20.35,12.3,16,19,22.8,21.8,48.8,12.4,10,11.4
FMNH 149227,central,Sarawak: Kapit,M,9,9,0,1,45,17,64,13,8,21,1,5,8,98.5,26.8,18.4,10.8,15.3,15.9,17.7,21.1,42.4,11.4,9.1,12.3
FMNH 149231,central,Sarawak: Kapit,F,11,9,0,1,46,17,68,15,8,23,1,0,4,106.1,29.4,20.2,11.3,16.9,17.5,19.6,20.8,49.1,12.3,11.1,12.4
FMNH 149222,central,Sarawak: Kapit,F,9,9,0,1,49,17,61,16,8,24,1,0,6,112.4,27.1,20.1,11.7,16.6,17.3,19.4,20.1,51.9,12.1,10.3,10.8
FMNH 149217,central,Sarawak: Kapit,M,10,8,0,1,47,17,57,15,7,22,1,4,9,97.4,25.5,17.4,9.9,14.6,15.6,18.5,20.3,45.3,10.5,8.7,12.1
FMNH 149180,central,Sarawak: Kapit,M,9,8,0,1,45,20,57,13,8,21,1,3,8,102.8,27.6,18.3,10.8,15.8,14.1,18.6,21.5,49.6,11.6,9.6,11.7
MCZ A-36643,west,"Sarawak: Siburan, Gua Raya Skuduk",M,16,10,0,1,54,17,53,16,10,26,0,0,12,105.6,29,18.4,11,17.3,15.5,19.7,20,50,12.4,8.7,11
MCZ A-36647,west,"Sarawak: Serian, Tebedu Karst",F,12,10,0,1,51,15,45,14,12,26,1,0,11,110.8,29.7,17.8,10.8,18.7,16.9,21.1,21.5,51.8,13,9,11.1
MCZ A-36653,west,"Sarawak: Serian, Gua Sireh",F,11,10,0,1,47,14,53,14,9,23,1,0,8,103.2,27.3,17.6,10.6,16.7,13.3,19.8,20.5,47.4,11.8,9.1,10.4
MCZ A-36664,west,"Sarawak: Siburan, Kampung Mambong",M,12,10,0,1,48,14,54,14,10,24,1,0,10,104.5,27.7,17.5,10.7,17.1,15.3,20.3,20.5,50.9,11.7,9.7,12
MCZ A-36665,west,"Sarawak: Siburan, Kampung Mambong",F,14,11,0,1,52,15,49,13,9,22,1,0,8,111.7,30.1,18.6,11.6,17.8,15.7,21.1,23.2,57.4,13.2,8.9,11.3
MCZ A-36666,west,"Sarawak: Siburan, Kampung Mambong",F,12,10,0,1,48,15,53,13,11,24,1,0,9,102.8,27.5,17.3,10.1,16.6,14.9,19.6,19.5,49.6,12,9.6,11.3
MCZ A-36667,west,"Sarawak: Siburan, Kampung Mambong",F,12,10,0,0,48,16,55,12,9,21,1,0,9,100,28.3,17.5,10.2,17,14.8,19.6,20.3,47.2,12.1,9.2,10.3
MCZ A-36694,west,"Sarawak: Padawan, Kampung Timurang",M,12,8,0,0,51,12,54,12,8,20,0,0,9,93.4,26.3,16.1,10.3,16.3,13.7,18.8,19.3,42.8,11.2,9.1,10.6
CAS 262987,north,"Sarawak: Miri, Gunung Mulu, Gua Lang",M,11,10,0,1,44,13,64,11,14,25,1,0,11,108,30.9,18.8,10.6,18,15.6,20.4,20.5,50.8,13.2,11.2,12.7
CAS 262988,north,"Sarawak: Miri, Gunung Mulu, Gua Lang",M,12,10,1,1,43,16,70,10,14,24,1,0,9,110,29.3,18.8,10.5,17.8,14.2,20.7,21.2,49.9,12.3,10.2,12.6
CAS 262844,west,"Sarawak: Kuching, Serian, Tebakang karst",M,9,8,0,1,50,15,55,10,12,22,0,0,9,108,28.3,18.3,10.1,17.5,14.3,20.2,20.3,51.5,12.6,10.4,11.9
CAS 262967,west,"Sarawak: Kuching, Gunung Matang, Kubah NP, Waterfall Trail",F,10,9,0,1,43,16,66,10,16,26,1,0,10,110.5,30,18.9,10.7,17.9,16.2,20.6,19.8,53.8,12.7,10.7,11.3
CAS 262966,west,"Sarawak: Kuching, Gunung Matang, Kubah NP, Waterfall Trail",M,13,10,0,1,44,16,52,9,14,23,1,0,10,105.2,27.6,17.9,10.1,17.3,15.6,20.5,21.1,52,11.4,10.4,11.6
CAS 262851,west,"Sarawak: Kuching, Bau, Gua Angin",,12,9,0,1,41,14,59,11,14,25,1,7,8,108.2,28.9,19.1,11.2,17.3,13.9,19.9,19.9,51.3,12.5,10.4,11
CAS 262855,west,"Sarawak: Kuching, Bau, Gua Angin",F,13,9,0,1,44,14,68,11,14,25,1,0,5,114.1,30.3,18.9,11.3,18.8,15,21.1,20.8,52.1,12.7,9.9,11.8
CAS 262852,west,"Sarawak: Kuching, Bau, Gua Angin",M,9,8,0,1,32,13,65,10,15,25,1,1,10,111.4,28,19.6,11.4,18.2,14.6,21.7,19.8,50.4,12.7,9.9,12.4
CAS 262853,west,"Sarawak: Kuching, Bau, Gua Angin",F,10,9,0,1,44,15,62,9,16,25,1,0,8,106.4,27.6,16.1,10.2,16.7,14.3,19.9,19.9,53.3,11.5,10.5,10.9
BRK554,central,"Sarawak: Baram, 4km W Selungo",M,10,9,0,1,45,16,59,13,17,23,1,9,9,105,28.3,18.2,10.1,18.5,14.2,19.3,20.5,51,9.3,10,11.7
BRK412,central,"Sarawak: Kapit, Pelagus NP",M,12,9,0,1,49,18,49,10,17,24,1,0,0,96.4,25,18.6,10.1,13.1,19,18,20,45,6.7,11.9,10.6
BRK668,north,"Sarawak: Miri, Gunung Mulu, Camp 5",F,11,10,0,1,49,13,45,13,18,24,0,0,0,116.4,34,23,11,18,18.1,21,20,58,15,10.5,11.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,